County_ID,State_ID,County_Name
1,50,Alameda
2,50,Alpine
3,50,Amador
4,50,Butte
5,50,Calaveras
6,50,Colusa
7,50,Contra Costa
8,50,Del Norte
9,50,El Dorado
10,50,Fresno
11,50,Glenn
12,50,Humboldt
13,50,Imperial
14,50,Inyo
15,50,Kern
16,50,Kings
17,50,Lake
18,50,Lassen
19,50,Los Angeles
20,50,Madera
21,50,Marin
22,50,Mariposa
23,50,Mendocino
24,50,Merced
25,50,Modoc
26,50,Mono
27,50,Monterey
28,50,Napa
29,50,Nevada
30,50,Orange
31,50,Placer
32,50,Plumas
33,50,Riverside
34,50,Sacramento
35,50,San Benito
36,50,San Bernardino
37,50,San Diego
38,50,San Francisco
39,50,San Joaquin
40,50,San Luis Obispo
41,50,San Mateo
42,50,Santa Barbara
43,50,Santa Clara
44,50,Santa Cruz
45,50,Shasta
46,50,Sierra
47,50,Siskiyou
48,50,Solano
49,50,Sonoma
50,50,Stanislaus
51,50,Sutter
52,50,Tehama
53,50,Trinity
54,50,Tulare
55,50,Tuolumne
56,50,Ventura
57,50,Yolo
58,50,Yuba
