State_id,State
10,Alabama
20,Alaska
30,Arizona
40,Arkansas
50,California
60,Colorado
70,Connecticut
80,Delaware
90,Florida
100,Georgia
110,Hawaii
120,Idaho
130,Illinois
140,Indiana
150,Iowa
160,Kansas
170,Kentucky
180,Louisiana
190,Maine
200,Maryland
210,Massachusetts
220,Michigan
230,Minnesota
240,Mississippi
250,Missouri
260,Montana
270,Nebraska
280,Nevada
290,New Hampshire
300,New Jersey
310,New Mexico
320,New York
330,North Carolina
340,North Dakota
350,Ohio
360,Oklahoma
370,Oregon
380,Pennsylvania
390,Rhode Island
400,South Carolina
410,South Dakota
420,Tennessee
430,Texas
440,Utah
450,Vermont
460,Virginia
470,Washington
480,West Virginia
490,Wisconsin
500,Wyoming
